loan_date,loan_type,credit_type,risk_level,product,platform,media,loan_utilization_bucket,loan_order_cnt,loan_customer_cnt,loan_amt_sum,credit_limit_sum,fpd0_numerator,fpd0_denominator,fpd0_amt_numerator,fpd0_amt_denominator,fpd10_numerator,fpd10_denominator,fpd10_amt_numerator,fpd10_amt_denominator
2026-08-09,复借,01_首次授信,RG2,CL_01,iOS,Google,01_100%以下,1,1,1300000.0,2000000.0,0,1,0.0,1462000.0,0,1,0.0,1462000.0
2026-09-04,复借,01_首次授信,RG3,CL_05,iOS,ASA,01_100%以下,2,2,900000.0,2000000.0,0,0,0.0,0.0,0,0,0.0,0.0
2026-09-11,首借,01_首次授信,RG4,CL_05,Android,Organic,02_100%及以上,1,1,300000.0,300000.0,0,0,0.0,0.0,0,0,0.0,0.0
2026-08-24,首借,01_首次授信,RG4,CL_05,Android,Google,02_100%及以上,21,21,8200000.0,8200000.0,7,19,2800000.0,7400000.0,0,0,0.0,0.0
2026-08-02,首借,01_首次授信,RG1,CL_01,Android,Google,02_100%及以上,1,1,1500000.0,1500000.0,0,1,0.0,1687000.0,0,1,0.0,1687000.0
2026-08-07,复借,01_首次授信,RG2,CL_05,iOS,Facebook,01_100%以下,1,1,1100000.0,1200000.0,0,1,0.0,1100000.0,0,1,0.0,1100000.0
2026-09-09,复借,01_首次授信,RG5,CL_05,iOS,Facebook,02_100%及以上,4,4,2000000.0,1500000.0,0,0,0.0,0.0,0,0,0.0,0.0
2026-09-11,复借,02_非首次授信,RG4,CL_05,Android,Tiktok,02_100%及以上,1,1,400000.0,400000.0,0,0,0.0,0.0,0,0,0.0,0.0
2026-09-12,复借,01_首次授信,RG1,CL_01,Android,Facebook,01_100%以下,1,1,400000.0,1000000.0,0,0,0.0,0.0,0,0,0.0,0.0
2026-08-27,复借,01_首次授信,RG7,CL_05,Android,Tiktok,02_100%及以上,3,3,1200000.0,900000.0,2,3,800000.0,1200000.0,0,0,0.0,0.0
2026-07-29,复借,01_首次授信,RG3,CL_05,Android,Facebook,02_100%及以上,7,7,4900000.0,3700000.0,3,7,2400000.0,4900000.0,3,7,2400000.0,4900000.0
2026-07-15,复借,01_首次授信,RG4,CL_05,iOS,Organic,02_100%及以上,2,2,1600000.0,1200000.0,1,2,800000.0,1600000.0,1,2,800000.0,1600000.0
2026-09-02,复借,02_非首次授信,RG4,CL_05,iOS,Organic,02_100%及以上,2,2,1600000.0,1400000.0,0,0,0.0,0.0,0,0,0.0,0.0
2026-07-17,复借,01_首次授信,RG2,CL_01,Android,Facebook,01_100%以下,1,1,600000.0,1500000.0,0,1,0.0,674000.0,0,1,0.0,674000.0
2026-07-26,首借,02_非首次授信,RG3,CL_05,Android,Organic,02_100%及以上,2,2,1600000.0,1600000.0,1,2,800000.0,1600000.0,1,2,800000.0,1600000.0
2026-09-11,复借,01_首次授信,RG2,CL_01,Android,Facebook,02_100%及以上,1,1,1800000.0,1500000.0,0,0,0.0,0.0,0,0,0.0,0.0
2026-09-08,复借,01_首次授信,RG3,CL_05,iOS,Facebook,01_100%以下,1,1,500000.0,1200000.0,0,0,0.0,0.0,0,0,0.0,0.0
2026-09-09,首借,02_非首次授信,RG4,CL_05,Android,Organic,02_100%及以上,2,2,1000000.0,1000000.0,0,0,0.0,0.0,0,0,0.0,0.0
2026-07-31,复借,02_非首次授信,RG2,CL_01,Android,Facebook,02_100%及以上,1,1,1800000.0,1500000.0,0,1,0.0,2024000.0,0,1,0.0,2024000.0
2026-07-17,复借,01_首次授信,RG3,CL_04,Android,Facebook,02_100%及以上,2,2,1400000.0,1400000.0,1,2,800000.0,1400000.0,0,2,0.0,1400000.0
2026-07-27,复借,01_首次授信,RG4,CL_03,iOS,Organic,02_100%及以上,1,1,600000.0,600000.0,0,1,0.0,600000.0,0,1,0.0,600000.0
2026-08-31,首借,01_首次授信,RG3,CL_05,Android,Tiktok,02_100%及以上,7,7,5200000.0,5000000.0,0,0,0.0,0.0,0,0,0.0,0.0
2026-07-25,复借,01_首次授信,RG2,CL_05,Android,Facebook,02_100%及以上,3,3,3800000.0,3400000.0,0,3,0.0,3800000.0,0,3,0.0,3800000.0
2026-07-17,复借,01_首次授信,RG4,CL_03,Android,Facebook,01_100%以下,1,1,300000.0,400000.0,0,1,0.0,300000.0,0,1,0.0,300000.0
2026-08-18,首借,02_非首次授信,RG2,CL_05,Android,Organic,02_100%及以上,1,1,1200000.0,1200000.0,0,1,0.0,1200000.0,0,1,0.0,1200000.0
2026-07-17,首借,02_非首次授信,RG4,CL_04,iOS,Facebook,02_100%及以上,1,1,800000.0,600000.0,1,1,800000.0,800000.0,1,1,800000.0,800000.0
2026-09-05,复借,01_首次授信,RG2,CL_03,iOS,Organic,02_100%及以上,1,1,1500000.0,1500000.0,0,0,0.0,0.0,0,0,0.0,0.0
2026-08-23,复借,01_首次授信,RG5,CL_04,Android,Organic,02_100%及以上,1,1,500000.0,400000.0,1,1,500000.0,500000.0,0,0,0.0,0.0
2026-09-06,复借,01_首次授信,RG5,CL_05,iOS,Organic,01_100%以下,1,1,300000.0,400000.0,0,0,0.0,0.0,0,0,0.0,0.0
2026-07-22,复借,01_首次授信,RG4,CL_05,Android,Facebook,02_100%及以上,9,9,5000000.0,4400000.0,3,9,1600000.0,5000000.0,2,9,1200000.0,5000000.0
2026-07-18,复借,01_首次授信,RG4,CL_04,Android,Facebook,01_100%以下,1,1,300000.0,400000.0,0,1,0.0,300000.0,0,1,0.0,300000.0
2026-09-03,复借,01_首次授信,RG4,CL_05,Android,Google,02_100%及以上,6,6,3200000.0,2900000.0,0,0,0.0,0.0,0,0,0.0,0.0
2026-07-29,复借,01_首次授信,RG7,CL_03,Android,Facebook,02_100%及以上,1,1,300000.0,300000.0,0,1,0.0,300000.0,0,1,0.0,300000.0
