credit_pass_date,credit_type,risk_level,product,platform,media,credit_limit_bucket,t0_utilization_bucket,credit_pass_customer_cnt,t0_withdraw_numerator,t0_withdraw_denominator,t7_withdraw_numerator,t7_withdraw_denominator,t0_withdraw_utilization_numerator,t0_withdraw_utilization_denominator,credit_pass_limit_amt_sum
2026-08-03,02_非首次授信,RG3,CL_05,Android,Organic,05_80万,02_100%及以上,1,1,1,1,1,800000.0,800000.0,800000.0
2026-07-27,01_首次授信,RG4,CL_05,Android,Google,02_40万,,5,0,5,3,5,0.0,0.0,2000000.0
2026-07-28,01_首次授信,RG0,CL_06,iOS,Organic,10_200万及以上,,1,0,1,0,1,0.0,0.0,6000000.0
2026-07-21,01_首次授信,RG4,CL_05,Android,Facebook,04_60万,,5,0,5,1,5,0.0,0.0,3000000.0
2026-08-12,01_首次授信,RG5,CL_05,Android,Google,02_40万,,2,0,2,2,2,0.0,0.0,800000.0
2026-08-02,02_非首次授信,RG2,CL_05,Android,Facebook,07_120万,,1,0,1,0,1,0.0,0.0,1200000.0
2026-08-24,01_首次授信,RG2,CL_07,Android,Tiktok,07_120万,02_100%及以上,1,1,1,1,1,1200000.0,1200000.0,1200000.0
2026-08-09,02_非首次授信,RG4,CL_05,Android,Tiktok,04_60万,,1,0,1,0,1,0.0,0.0,600000.0
2026-08-05,01_首次授信,RG5,CL_05,Android,Organic,01_30万,02_100%及以上,4,4,4,4,4,1200000.0,1200000.0,1200000.0
2026-07-15,01_首次授信,RG3,CL_03,Android,Facebook,05_80万,,1,0,1,0,1,0.0,0.0,800000.0
2026-07-16,02_非首次授信,RG3,CL_05,Android,Facebook,04_60万,,1,0,1,1,1,0.0,0.0,600000.0
2026-09-08,01_首次授信,RG1,CL_01,iOS,ASA,10_200万及以上,,1,0,1,0,0,0.0,0.0,3000000.0
2026-07-22,01_首次授信,RG2,CL_01,Android,Facebook,08_150万,,2,0,2,1,2,0.0,0.0,3000000.0
2026-09-02,01_首次授信,RG4,CL_05,Android,Tiktok,04_60万,,4,0,4,1,3,0.0,0.0,2400000.0
2026-08-05,01_首次授信,RG3,CL_05,Android,Organic,05_80万,02_100%及以上,1,1,1,1,1,800000.0,800000.0,800000.0
2026-07-21,01_首次授信,RG7,CL_05,Android,Google,01_30万,,1,0,1,0,1,0.0,0.0,300000.0
2026-07-31,02_非首次授信,RG4,CL_05,Android,Tiktok,02_40万,02_100%及以上,1,1,1,1,1,400000.0,400000.0,400000.0
2026-09-02,01_首次授信,RG5,CL_05,iOS,Facebook,02_40万,,1,0,1,0,1,0.0,0.0,400000.0
2026-08-02,01_首次授信,RG4,CL_05,iOS,Organic,04_60万,02_100%及以上,2,2,2,2,2,1200000.0,1200000.0,1200000.0
2026-08-30,01_首次授信,RG5,CL_05,iOS,Organic,01_30万,,3,0,3,1,3,0.0,0.0,900000.0
2026-08-28,01_首次授信,RG2,CL_07,Android,Facebook,07_120万,,2,0,2,0,2,0.0,0.0,2400000.0
2026-07-28,01_首次授信,RG3,CL_05,iOS,Organic,05_80万,,2,0,2,1,2,0.0,0.0,1600000.0
2026-07-13,01_首次授信,RG7,CL_04,Android,Tiktok,01_30万,,1,0,1,0,1,0.0,0.0,300000.0
2026-07-13,02_非首次授信,RG6,CL_05,Android,Facebook,01_30万,02_100%及以上,1,1,1,1,1,300000.0,300000.0,300000.0
2026-07-23,02_非首次授信,RG2,CL_05,Android,Facebook,07_120万,02_100%及以上,1,1,1,1,1,1200000.0,1200000.0,1200000.0
2026-08-20,01_首次授信,RG4,CL_05,iOS,Organic,05_80万,02_100%及以上,1,1,1,1,1,800000.0,800000.0,800000.0
2026-07-30,01_首次授信,RG2,CL_07,iOS,Facebook,10_200万及以上,,1,0,1,0,1,0.0,0.0,2000000.0
2026-08-18,01_首次授信,RG2,CL_01,iOS,Facebook,10_200万及以上,,2,0,2,1,2,0.0,0.0,4000000.0
2026-08-11,02_非首次授信,RG2,CL_05,iOS,Organic,07_120万,02_100%及以上,1,1,1,1,1,1200000.0,1200000.0,1200000.0
2026-08-06,01_首次授信,RG3,CL_05,iOS,ASA,05_80万,02_100%及以上,1,1,1,1,1,800000.0,800000.0,800000.0
2026-08-02,02_非首次授信,RG4,CL_05,Android,Organic,02_40万,,1,0,1,1,1,0.0,0.0,400000.0
